node_1,node_2
0,0
0,1547
0,2232
0,3851
1,2768
2,27
2,2229
2,3071
2,3895
2,4548
2,4989
3,3921
3,770
3,4656
3,3068
4,4604
5,2602
5,2336
5,937
5,2603
5,279
6,5098
6,4948
6,3823
6,2219
7,1602
8,4086
9,1352
9,4233
9,4553
9,3771
9,5148
9,2242
9,123
9,3746
9,147
9,4408
9,1270
9,558
9,2867
9,4981
9,237
9,316
9,445
9,598
9,676
9,845
9,846
9,932
9,934
9,1400
9,1605
9,1813
9,1974
9,2277
9,2465
9,2489
9,2527
9,2553
9,2565
9,2822
9,2901
9,3044
9,3494
9,3501
9,3778
9,3892
9,4023
9,4058
9,4153
9,4167
9,4282
9,4324
9,4601
9,4681
9,5056
10,1352
10,4233
10,5148
10,2242
10,123
10,147
10,4408
10,1270
10,558
10,2867
10,4981
10,932
10,4282
10,4681
10,2901
10,4167
10,3892
10,676
10,3778
10,845
10,1605
10,2465
10,3494
10,5056
10,316
10,1974
10,4324
10,2822
10,2553
10,445
10,598
10,1400
10,1813
10,2277
10,2489
10,2565
10,3044
10,3501
10,4023
10,4058
10,4153
10,4601
11,554
11,3151
11,5081
11,1348
11,2611
11,1538
11,4780
12,4445
12,5149
12,90
12,89
12,2300
12,4685
12,4984
13,973
13,3020
14,670
15,460
15,3149
16,3399
17,1805
17,1668
17,3435
17,2423
18,2329
18,1791
19,1087
19,4032
20,763
21,3619
22,1331
22,494
22,3686
22,4157
22,3764
22,1502
22,2955
22,4946
22,2905
22,394
22,474
22,519
22,521
22,895
22,977
22,1060
22,1298
22,1475
22,1555
22,1782
22,1893
22,1951
22,1983
22,2059
22,2493
22,2539
22,2846
22,2862
22,2956
22,3007
22,3097
22,3255
22,3523
22,3636
22,3834
22,3900
22,3960
22,4015
22,4158
22,4269
22,4530
22,4771
23,4354
23,4104
23,3448
23,808
23,3241
24,613
24,3015
25,39
25,3944
26,2437
27,554
27,3071
27,2229
28,2634
28,5021
28,432
28,678
29,1164
30,2134
30,1085
31,3319
31,1422
31,2666
31,995
31,164
31,1937
31,2961
31,3029
32,973
33,1489
33,2772
34,633
34,1657
34,1427
34,3307
35,339
35,780
35,827
35,1312
35,1986
35,2455
35,2524
35,2833
35,3077
35,4018
35,5233
36,3421
36,3713
36,3891
36,4518
36,4829
36,4847
37,3452
37,1706
37,2754
37,3414
38,3310
38,3730
39,632
39,2262
39,3944
40,3016
40,3892
41,2249
41,3363
42,749
42,3390
43,2032
43,194
43,243
43,1975
43,2534
43,3775
43,4169
43,4694
44,3962
44,4746
44,4047
45,1057
46,58
46,87
46,214
46,363
46,785
46,933
46,1415
46,1673
46,2824
46,3512
46,3596
46,3608
46,3735
46,3792
46,3939
46,4542
46,4583
47,347
47,4305
48,3454
48,4611
49,1636
49,200
49,134
49,910
50,4629
50,4610
50,4644
50,2150
51,1756
52,4493
52,4055
52,4060
53,1520
53,1802
54,2702
54,3544
55,1921
55,1438
55,115
55,1375
55,1643
55,1833
55,1834
55,1874
55,1959
55,3309
55,3346
55,3946
55,3964
55,4969
56,4769
56,2676
56,4894
56,732
56,4842
56,1700
57,3759
57,633
57,1331
57,2116
57,2733
57,3846
57,4406
58,87
58,214
58,363
58,785
58,933
58,1415
58,1673
58,2824
58,3512
58,3596
58,3608
58,3735
58,3792
58,3939
58,4542
58,4583
59,4233
59,4553
59,600
59,3338
59,3017
59,1724
59,2887
59,558
59,2867
59,4981
59,1922
59,4517
59,4712
59,4206
59,3699
59,3494
59,84
59,4964
59,359
59,495
59,602
59,1162
59,1387
59,1745
59,2491
59,3243
59,4614
59,4694
59,4832
59,5038
60,2501
61,3225
61,3229
61,1711
61,2075
62,268
62,663
62,981
62,2890
62,3317
62,3582
62,4471
63,2915
63,3337
64,1675
65,1096
65,951
65,4245
66,1535
67,554
67,4416
67,2733
67,2625
67,1206
68,1677
68,4874
68,2605
69,240
69,2005
69,5129
70,589
70,2339
70,2350
70,2967
70,3805
70,4096
71,3008
71,4736
71,277
71,529
71,2234
71,3702
71,4154
71,4837
72,4834
72,3105
73,1316
74,749
74,1346
75,1755
76,2769
76,3757
76,4438
76,4440
76,4945
77,2586
77,2278
78,1936
78,3453
78,2133
78,3341
78,4152
79,4256
79,2990
80,4287
81,2910
81,306
81,1166
81,1241
81,3456
81,3587
82,1404
82,3816
83,3957
83,1369
83,548
83,1964
83,5066
83,609
83,668
83,1170
83,454
83,737
83,974
83,975
83,1569
83,1955
83,2195
83,2198
83,2357
83,2709
83,2863
83,3447
83,3450
83,3491
83,3796
83,3859
83,4131
83,4140
83,4296
83,4498
83,4886
83,5029
84,4233
84,4553
84,600
84,3771
84,676
84,4712
84,2332
84,133
84,4206
84,2465
84,2491
84,4019
85,1182
85,3082
86,192
86,5139
87,214
87,363
87,785
87,933
87,1415
87,1673
87,2824
87,3512
87,3596
87,3608
87,3735
87,3792
87,3939
87,4542
87,4583
88,3393
88,4422
88,4734
89,2300
89,4685
89,4984
90,4445
91,462
91,1550
91,1680
92,3434
92,4362
92,2949
92,2072
93,1986
93,3707
93,1387
93,2828
93,3028
94,1271
94,3206
94,410
94,1574
94,3232
95,2758
96,4341
97,3060
98,2053
99,539
99,3244
100,778
100,1333
101,4030
101,4051
101,4309
102,1280
102,1609
102,3083
102,310
102,2564
102,2802
103,2774
104,3434
104,923
104,1465
104,2949
105,409
106,2638
107,2720
107,3372
108,2716
108,3854
108,1385
109,898
110,4026
111,707
111,2855
111,117
111,416
111,532
111,629
111,922
111,948
111,1460
111,1988
111,2065
111,2085
111,2121
111,2193
111,2407
111,2652
111,2732
111,2748
111,3280
111,3766
111,3954
111,4147
111,4148
111,4243
111,4599
111,4693
111,4903
111,4999
111,5024
111,5152
112,1761
113,1228
113,2906
113,3207
113,4244
113,235
113,189
113,354
113,1023
113,2694
113,2744
113,3325
113,3955
113,4121
114,227
114,346
114,938
114,1198
114,1396
114,1594
114,2631
114,3348
114,3351
114,4433
114,4713
115,1921
115,1438
115,1375
115,1643
115,1833
115,1834
115,1874
115,1959
115,3309
115,3346
115,3946
115,3964
115,4969
116,581
116,3565
116,360
116,1919
117,2652
117,2085
117,4999
117,1988
117,2193
117,2732
117,5152
118,2282
118,4870
119,1768
119,4146
120,4962
120,3337
120,1209
120,379
120,440
120,696
120,919
120,1154
120,1181
120,1318
120,1595
120,1699
120,2457
120,2481
120,2921
120,3400
120,3879
120,3962
120,4207
120,4278
120,4592
120,4746
120,4768
120,5241
121,4799
121,3688
122,3962
122,919
122,4746
122,351
122,3773
123,1352
