node_1,node_2
0,923
1,3651
1,10226
1,928
2,911
2,1274
2,9575
2,11011
2,943
2,4267
3,11212
3,7556
3,9552
3,7030
3,8199
3,8908
3,1954
3,4498
3,4564
3,4037
3,34
3,3705
3,3333
3,4410
3,2064
3,2837
3,11960
3,1321
3,3805
3,6847
3,7027
3,10055
3,8737
3,11177
3,630
3,1089
3,1650
3,2428
3,2667
3,2692
3,2992
3,3229
3,3299
3,3599
3,3681
3,4046
3,4090
3,4160
3,4499
3,5021
3,5163
3,5222
3,5447
3,6053
3,6944
3,7451
3,7725
3,7732
3,8238
3,8354
3,8511
3,9288
3,9333
3,9831
3,9995
3,10511
3,10775
3,11071
3,11074
3,11281
3,11342
3,11486
4,4889
5,556
5,9979
5,11434
5,11378
5,887
5,133
5,1144
5,7321
5,9635
6,5316
6,8431
6,10309
7,165
8,2215
8,135
8,227
8,236
8,512
8,777
8,842
8,965
8,1008
8,1211
8,1213
8,1261
8,1581
8,1951
8,2068
8,2152
8,3342
8,3859
8,4131
8,4165
8,4174
8,4865
8,5928
8,6146
8,6181
8,6491
8,6555
8,6751
8,6773
8,6817
8,7123
8,8058
8,8302
8,8752
8,8934
8,9130
8,9405
8,9826
8,10060
8,10465
8,11082
8,11386
8,11934
9,11469
10,9735
10,3188
10,7984
10,8501
10,10898
11,6955
11,7908
11,7205
11,12
12,6955
12,7908
13,1236
13,2350
13,8774
14,1236
14,2350
14,2326
14,8774
15,6425
15,1454
15,5252
15,11369
15,9646
15,3660
15,10166
16,927
16,958
16,2707
16,4243
16,4755
16,5485
16,6143
16,7274
17,96
17,5091
17,6958
18,2497
18,3530
18,1848
18,2499
18,2615
18,2238
18,10569
18,11415
18,4928
18,1794
18,10134
18,547
18,7811
18,2203
18,6704
18,5337
18,11389
18,272
18,11197
18,5629
18,8148
18,4516
18,5626
18,9046
18,2525
18,9332
18,10230
18,9646
18,11191
18,5484
18,4127
18,361
18,1721
18,1942
18,2284
18,2590
18,2595
18,3377
18,3429
18,3664
18,4464
18,5078
18,5147
18,5451
18,5610
18,6507
18,6613
18,6683
18,7022
18,7036
18,7151
18,7236
18,7353
18,7587
18,8092
18,8364
18,8580
18,8832
18,8856
18,9093
18,11559
19,165
19,1947
20,165
21,4525
21,7206
21,4041
21,3179
21,6833
21,8525
22,165
23,11662
23,7070
24,165
25,4057
25,6566
25,6576
25,4605
25,6575
26,4467
26,8562
26,5142
26,2499
26,3110
26,2825
26,9281
26,229
26,564
26,644
26,858
26,2041
26,2246
26,3117
26,5071
26,5212
26,5295
26,5835
26,8577
26,9331
26,9383
26,9636
26,11449
26,11455
27,4820
27,7309
27,5620
28,2515
28,11692
29,5312
29,6007
29,2007
29,6010
29,694
30,9213
30,10216
30,1441
31,2118
31,7660
31,3784
31,11443
31,11768
31,5743
31,4875
31,9544
31,11689
32,1273
32,7144
32,10864
32,11569
32,2977
33,3092
33,10299
33,3855
33,5965
34,7556
34,9552
34,7030
34,3004
34,1954
34,4498
34,4037
34,496
34,1321
34,2064
34,2365
34,2837
34,3333
34,3705
34,3805
34,4046
34,4410
34,6053
34,6847
34,7027
34,7451
34,7725
34,8737
34,9333
34,9831
34,10055
34,10746
34,11001
34,11177
34,11281
34,11960
35,9998
35,4654
35,11589
35,2929
35,1188
35,72
35,1077
35,1193
35,909
35,4378
35,7957
35,589
35,10275
35,645
35,3966
35,5847
35,8576
35,8829
35,11513
36,3036
37,8824
37,1369
37,10241
37,2820
37,10808
38,4054
38,4597
39,981
39,3399
40,274
40,1369
40,8294
40,8987
40,10929
